t,dx,dy,dz,ax,ay,az
1.7,-2.82247,-0.5897,-2.05224,-202.99676,74.29882,132.99789
1.72,-2.5693,-0.57588,-2.49628,-181.9971,123.99803,148.99762
1.74,-2.39015,-0.53508,-2.88523,-172.99724,-52.69916,118.99811
1.76,-2.28132,-0.49373,-3.22431,-174.99721,-13.29979,110.99824
1.78,-2.2423,-0.46428,-3.51919,-174.99721,-39.79937,99.99841
1.8,-2.27391,-0.4505,-3.77209,-180.99711,-64.09898,107.99828
1.82,-2.37553,-0.45332,-3.98507,-162.9974,1.79997,82.39869
1.84,-2.54137,-0.45272,-4.16699,-134.99785,94.59849,36.89941
1.86,-2.76143,-0.43247,-4.33546,-108.99827,5.19992,-22.49964
1.88,-3.02463,-0.41691,-4.51945,-78.19875,-151.99757,-147.99764
1.9,-3.31867,-0.43609,-4.75311,-42.89932,-48.89922,-178.99714
1.92,-3.62931,-0.48123,-5.05318,-1.69997,-9.89984,-158.99746
1.94,-3.94099,-0.52779,-5.41977,35.99943,54.29913,-168.9973
1.96,-4.23782,-0.56511,-5.85116,78.49875,-6.59989,-151.99757
1.98,-4.50376,-0.6005,-6.34427,115.99816,-21.89965,-144.99768
2,-4.72268,-0.64101,-6.895,159.99745,-0.99998,-134.99785
2.02,-4.87842,-0.6851,-7.49984,195.99687,-12.09981,-126.99798
2.04,-4.95487,-0.73698,-8.15529,240.99616,-52.89916,-117.99812
2.06,-4.93625,-0.80488,-8.85786,272.99565,-42.59932,-108.99827
2.08,-4.80855,-0.88731,-9.60391,303.99516,-7.29988,-99.69841
2.1,-4.56077,-0.97317,-10.38836,319.9949,22.69964,-76.39878
2.12,-4.18441,-1.05206,-11.20392,341.99455,31.3995,-59.49905
2.14,-3.67947,-1.12845,-12.03988,281.99551,-60.59903,-9.49985
2.16,-3.06076,-1.2155,-12.87819,231.9963,-17.09973,54.19914
2.18,-2.37946,-1.31052,-13.69592,-119.99809,14.89976,105.99831
2.2,-1.72269,-1.40184,-14.47925,-236.99622,24.09962,76.99877
2.22,-1.14173,-1.48526,-15.23065,-163.99738,15.69975,58.49907
2.24,-0.63599,-1.55803,-15.96009,-186.99702,50.89919,24.69961
2.26,-0.19507,-1.61799,-16.67993,-109.99825,10.29984,-12.7998
2.28,0.1976,-1.67368,-17.40653,-75.2988,-28.89954,-67.49892
2.3,0.56247,-1.73553,-18.15608,-17.29972,-14.39977,-82.59868
2.32,0.91745,-1.80555,-18.93403,11.29982,-24.09962,-52.09917
2.34,1.27828,-1.88391,-19.73358,53.29915,-21.09966,-29.99952
2.36,1.65982,-1.9665,-20.5435,89.49857,23.89962,7.39988
2.38,2.07648,-2.05507,-21.35039,118.99811,-86.69862,44.69929
2.4,2.54346,-2.16637,-22.139,175.99719,-77.99876,85.19864
2.42,3.06328,-2.30451,-22.89481,57.59908,-25.99959,111.99822
2.44,3.58591,-2.45542,-23.6104,-262.99581,2.19997,92.19853
2.46,4.04617,-2.60248,-24.28852,-154.99753,59.89905,77.49876
2.48,4.43182,-2.74437,-24.93638,-172.99724,-70.49888,54.39914
2.5,4.75725,-2.90333,-25.56398,-100.99839,-89.79857,15.59975
2.52,5.03937,-3.08955,-26.18476,-57.89908,-22.69964,-18.29971
2.54,5.30216,-3.28993,-26.81367,23.69962,-6.59989,-61.19903
2.56,5.55718,-3.48603,-27.46357,-66.99893,78.49875,-69.99889
2.58,5.78136,-3.66676,-28.13668,-197.99684,3.09995,-31.79949
2.6,5.94281,-3.84266,-28.82345,-163.99738,-36.59942,-3.79994
2.62,6.03475,-4.02769,-29.51123,-168.9973,-21.39966,28.39955
2.64,6.06167,-4.22872,-30.18768,-147.99764,-80.69871,59.39905
2.66,6.02977,-4.44906,-30.84015,-122.99804,-10.59983,91.89854
2.68,5.94845,-4.67655,-31.4571,-99.99841,30.19952,110.99824
2.7,5.8273,-4.88845,-32.03607,-75.0988,105.99831,65.09896
2.72,5.67588,-5.06931,-32.58814,-52.29917,67.89892,26.99957
2.74,5.50376,-5.23738,-33.12972,-27.09957,-113.99819,-15.09976
2.76,5.32054,-5.42636,-33.6701,-4.39993,-49.29921,14.39977
2.78,5.13558,-5.63218,-34.20572,18.7997,44.0993,32.99947
2.8,4.95298,-5.82278,-34.7255,-9.49985,112.9982,77.19877
2.82,4.766,-5.98351,-35.21465,-43.29931,28.49955,117.99812
2.84,4.56102,-6.12587,-35.6565,-83.79867,13.49979,158.99746
2.86,4.32542,-6.26238,-36.03687,-95.09848,2.79996,177.99716
2.88,4.05524,-6.3994,-36.35074,-71.59886,-24.39961,148.99762
2.9,3.75522,-6.54286,-36.60514,-59.89905,-18.5997,117.99812
2.92,3.4327,-6.69165,-36.81307,-33.39947,8.09987,78.79875
2.94,3.09641,-6.83992,-36.9901,-10.79983,7.39988,32.59948
2.96,2.75645,-6.98556,-37.14913,18.4997,3.19995,35.09944
2.98,2.42329,-7.12861,-37.2925,41.99933,11.99981,52.89916
3,2.1071,-7.27078,-37.41481,67.29893,-18.6997,68.9989
3.02,1.80757,-7.41482,-37.51082,-9.69985,6.4999,71.09887
3.04,1.50909,-7.55595,-37.579,-37.19941,34.69945,66.29895
3.06,1.20179,-7.68527,-37.62052,-3.99994,41.89933,62.09901
3.08,0.89005,-7.80057,-37.63748,1.09998,21.59966,54.19914
3.1,0.58156,-7.90759,-37.6321,34.39945,-2.59996,52.09917
3.12,0.28568,-8.01827,-37.60445,56.4991,-53.09915,63.39899
3.14,0.01336,-8.14656,-37.55185,88.2986,-67.49892,69.79889
3.16,-0.22438,-8.29606,-37.47076,112.9982,-24.19962,80.99871
3.18,-0.4171,-8.45746,-37.3621,135.99784,-3.39995,43.09931
3.2,-0.56916,-8.62425,-37.23718,21.89965,-22.99963,-5.49991
3.22,-0.70084,-8.80616,-37.11356,24.09962,-101.99838,-45.89927
3.24,-0.8187,-9.01733,-37.00164,68.29892,-65.79895,-20.59967
3.26,-0.91363,-9.25156,-36.89842,68.8989,2.79996,-0.69999
3.28,-0.97476,-9.4843,-36.79471,131.9979,74.79881,25.99959
3.3,-0.98913,-9.68529,-36.68093,134.99785,164.99737,48.59922
3.32,-0.94291,-9.82679,-36.5471,203.99675,189.99697,76.39878
3.34,-0.85173,-9.92536,-36.38426,-93.09851,-115.99816,87.8986
3.36,-0.77188,-10.02675,-36.19,-130.99792,13.59978,61.09902
3.38,-0.73448,-10.12766,-35.97114,-69.19889,93.49851,35.09944
3.4,-0.72951,-10.19498,-35.73708,-54.59913,134.99785,19.79968
3.42,-0.74167,-10.21822,-35.49118,7.19989,77.19877,42.89932
3.44,-0.75112,-10.20734,-35.22884,67.49892,51.49918,57.89908
3.46,-0.75707,-10.17892,-34.94191,-106.9983,-4.89992,86.39863
3.48,-0.79259,-10.14501,-34.62236,-148.99762,12.99979,94.59849
3.5,-0.87932,-10.11112,-34.27103,-106.9983,-21.49966,41.39934
3.52,-1.01398,-10.08223,-33.90247,-115.99816,-20.19968,-5.89991
3.54,-1.19018,-10.0632,-33.53596,-76.19878,-36.89941,-51.09918
3.56,-1.39882,-10.05469,-33.18945,-55.89911,-11.39982,-92.59852
3.58,-1.62843,-10.05261,-32.876,-21.49966,-4.79992,-95.29848
3.6,-1.86922,-10.05105,-32.60014,-12.5998,15.59975,-93.39851
3.62,-2.12143,-10.04413,-32.36127,-67.39893,26.99957,-88.79859
3.64,-2.39164,-10.02946,-32.15803,-32.39948,7.79988,-86.09863
3.66,-2.67846,-10.01238,-31.9882,-33.69946,-18.7997,-73.99882
3.68,-2.97637,-9.99835,-31.84794,-10.89983,-0.89999,-62.39901
3.7,-3.27968,-9.99318,-31.73249,1.69997,-68.09891,-50.0992
3.72,-3.58077,-10.00594,-31.63696,29.89952,-42.49932,-37.5994
3.74,-3.87084,-10.03257,-31.55628,48.79922,14.29977,-23.99962
3.76,-4.14211,-10.0565,-31.48533,60.79903,40.59935,-12.4998
3.78,-4.39414,-10.07561,-31.41904,22.19965,-47.39925,1.49998
3.8,-4.63599,-10.10772,-31.35533,-3.19995,-76.09879,-17.09973
3.82,-4.87872,-10.16302,-31.29901,-24.49961,-32.39948,-42.09933
3.84,-5.12593,-10.23152,-31.25984,7.69988,8.69986,-71.09887
3.86,-5.37196,-10.29526,-31.24545,21.09966,62.29901,-64.29898
3.88,-5.60733,-10.33546,-31.25371,56.79909,101.99838,-27.69956
3.9,-5.821,-10.34985,-31.27451,82.59868,-8.39987,-6.4999
3.92,-6.00038,-10.36091,-31.29761,120.99808,-52.09917,16.89973
3.94,-6.13253,-10.38556,-31.32018,147.99764,-23.49963,-22.99963
3.96,-6.20559,-10.41663,-31.35149,173.99722,34.69945,-58.99906
3.98,-6.22487,-10.43981,-31.4025,42.09933,32.79948,-56.99909
4,-6.21806,-10.4524,-31.47138,2.89995,5.49991,-6.4999
4.02,-6.20388,-10.45691,-31.54571,25.89959,36.69942,14.69977
4.04,-6.18133,-10.45133,-31.61561,29.29953,21.79965,20.49967
4.06,-6.15089,-10.44175,-31.67777,-5.49991,-40.39936,20.89967
4.08,-6.12012,-10.44217,-31.72922,-14.69977,-41.29934,43.8993
4.1,-6.09142,-10.45508,-31.76462,14.29977,-2.09997,50.89919
4.12,-6.05929,-10.47012,-31.78056,20.59967,24.09962,48.19923
4.14,-6.01665,-10.48275,-31.79727,49.89921,-22.29964,-155.99751
4.16,-5.95553,-10.49747,-31.85013,64.49897,-0.49999,-98.49843
4.18,-5.86697,-10.50841,-31.94891,95.69847,60.89903,-106.9983
4.2,-5.74154,-10.50784,-32.08557,112.9982,-6.4999,-67.29893
4.22,-5.56947,-10.50803,-32.24888,144.99768,-55.59911,-25.59959
4.24,-5.34081,-10.51978,-32.42133,162.9974,1.89997,26.09958
4.26,-5.04557,-10.53174,-32.5849,194.99689,49.49921,61.49902
4.28,-4.67646,-10.53336,-32.72326,185.99703,2.29996,101.99838
4.3,-4.23086,-10.53695,-32.8241,197.99684,-73.99882,108.99827
