t,dx,dy,dz,ax,ay,az
0.890000,21.04815974,-4.20948777,-14.02158251,-92.89370000,79.19374000,-96.21338000
0.900000,20.71179440,-4.26879141,-13.90647548,-39.87370000,94.75374000,-62.18338000
0.910000,20.37103293,-4.31750465,-13.79725502,-7.26370000,150.88374000,-13.33338000
0.920000,20.02957506,-4.35329697,-13.68869587,22.48630000,116.28374000,63.94662000
0.930000,19.69096805,-4.37845190,-13.57370279,72.26630000,38.01374000,144.34662000
0.940000,19.35946440,-4.39813491,-13.44559452,113.05630000,22.53374000,173.51662000
0.950000,19.03866561,-4.41573127,-13.30073806,125.75630000,-3.64626000,180.09662000
0.960000,18.73079618,-4.43433973,-13.13740042,148.54630000,-59.75626000,207.08662000
0.970000,18.43827810,-4.45596228,-12.95364760,187.14630000,-1.43626000,223.88662000
0.980000,18.16387838,-4.47495267,-12.74825408,197.83630000,163.88374000,212.31662000
0.990000,17.90886277,-4.47988041,-12.52175038,188.48630000,232.14374000,197.43662000
1.000000,17.67280602,-4.46622149,-12.27590575,179.48630000,111.26374000,167.99662000
1.010000,17.45403062,-4.44242492,-12.01420242,139.73630000,-53.19626000,102.46662000
1.020000,17.24879134,-4.42080744,-11.74219017,78.42630000,-96.06626000,40.97662000
1.030000,17.05240816,-4.40654305,-11.46524397,53.59630000,-52.82626000,14.48662000
1.040000,16.86201584,-4.39732151,-11.18701459,49.95630000,-4.02626000,-17.07338000
1.050000,16.67580838,-4.38742506,-10.91126653,9.82630000,83.84374000,-78.04338000
1.060000,16.48999978,-4.36983421,-10.64316303,-57.71370000,140.08374000,-131.07338000
1.070000,16.29885828,-4.34205070,-10.38743484,-111.77370000,39.66374000,-153.27338000
1.080000,16.09736815,-4.31006704,-10.14725122,-136.74370000,-55.43626000,-182.61338000
1.090000,15.88258012,-4.27908572,-9.92627116,-150.71370000,27.08374000,-248.09338000
1.100000,15.65251670,-4.24529149,-9.72969566,-176.90370000,109.75374000,-295.83338000
1.110000,15.40519338,-4.20475061,-9.56104498,-189.93370000,19.24374000,-275.68338000
1.120000,15.13949943,-4.16463082,-9.41983761,-182.11370000,-169.11626000,-248.98338000
1.130000,14.85522983,-4.13954288,-9.30526731,-192.92370000,-286.31626000,-290.28338000
1.140000,14.55152785,-4.13811478,-9.22074907,-213.39370000,-208.67626000,-370.98338000
1.150000,14.22685297,-4.15488502,-9.17248190,-223.26370000,-28.29626000,-416.24338000
1.160000,13.88007744,-4.17638211,-9.16410729,-228.16370000,72.16374000,-390.68338000
1.170000,13.51102828,-4.19290755,-9.19409249,-215.41370000,78.80374000,-335.23338000
1.180000,13.12060447,-4.20365732,-9.25847976,-200.05370000,-2.77626000,-313.38338000
1.190000,12.70971453,-4.21718044,-9.35486159,-207.18370000,-188.21626000,-316.23338000
1.200000,12.27809294,-4.24967341,-9.48260098,-218.90370000,-383.61626000,-306.90338000
1.210000,11.82468371,-4.31838047,-9.64080469,-230.57370000,-497.14626000,-286.98338000
1.220000,11.34815708,-4.43239013,-9.82838021,-248.70370000,-438.22626000,-292.45338000
1.230000,10.84724757,-4.58440137,-10.04654455,-251.39370000,-150.49626000,-350.11338000
1.240000,10.32231566,-4.74982147,-10.29945820,-213.46370000,198.83374000,-395.74338000
1.250000,9.77736336,-4.89986465,-10.58938992,-126.55370000,363.87374000,-337.57338000
1.260000,9.22000942,-5.02027719,-10.91154020,-33.55370000,254.61374000,-216.30338000
1.270000,8.65781584,-5.11871131,-11.25728804,-3.98370000,2.00374000,-172.17338000
1.280000,8.09438062,-5.21405253,-11.62290320,-12.20370000,-138.93626000,-232.49338000
1.290000,7.53088325,-5.31868585,-12.01075292,21.84630000,-99.84626000,-250.67338000
1.300000,6.97049724,-5.43198550,-12.42042295,88.90630000,-12.05626000,-137.42338000
1.310000,6.41887934,-5.54636001,-12.84333030,147.00630000,76.93374000,-2.42338000
1.320000,5.88164730,-5.65331410,-13.26874147,188.45630000,150.97374000,43.66662000
1.330000,5.36253912,-5.74680580,-13.69075095,196.97630000,155.58374000,52.70662000
1.340000,4.86283179,-5.82416958,-14.10659899,189.56630000,178.94374000,98.92662000
1.350000,4.38255683,-5.88173696,-14.51216034,197.12630000,274.35374000,162.45662000
1.360000,3.92178072,-5.91439368,-14.90185401,192.07630000,264.74374000,212.41662000
1.370000,3.47991222,-5.92405875,-15.27054875,170.96630000,111.79374000,254.21662000
1.380000,3.05570458,-5.92090716,-15.61370779,168.36630000,20.30374000,302.12662000
1.390000,2.64849804,-5.91312042,-15.92678741,168.28630000,28.97374000,346.25662000
1.400000,2.25776461,-5.90364877,-16.20599783,149.92630000,-14.88626000,361.67662000
1.410000,1.88223805,-5.89695022,-16.44924382,136.07630000,-114.15626000,370.51662000
1.420000,1.52080934,-5.89885700,-16.65497062,137.77630000,-105.04626000,399.60662000
