t,dx,dy,dz,ax,az
0.91,20.37103293,-4.31750465,-13.79725502,-7.2637,-13.33338
0.92,20.02957506,-4.35329697,-13.68869587,22.4863,63.94662
0.93,19.69096805,-4.3784519,-13.57370279,72.2663,144.34662
0.94,19.3594644,-4.39813491,-13.44559452,113.0563,173.51662
0.95,19.03866561,-4.41573127,-13.30073806,125.7563,180.09662
0.96,18.73079618,-4.43433973,-13.13740042,148.5463,207.08662
0.97,18.4382781,-4.45596228,-12.9536476,187.1463,223.88662
0.98,18.16387838,-4.47495267,-12.74825408,197.8363,212.31662
0.99,17.90886277,-4.47988041,-12.52175038,188.4863,197.43662
1.0,17.67280602,-4.46622149,-12.27590575,179.4863,167.99662
1.01,17.45403062,-4.44242492,-12.01420242,139.7363,102.46662
1.02,17.24879134,-4.42080744,-11.74219017,78.4263,40.97662
1.03,17.05240816,-4.40654305,-11.46524397,53.5963,14.48662
1.04,16.86201584,-4.39732151,-11.18701459,49.9563,-17.07338
1.05,16.67580838,-4.38742506,-10.91126653,9.8263,-78.04338
1.06,16.48999978,-4.36983421,-10.64316303,-57.7137,-131.07338
1.07,16.29885828,-4.3420507,-10.38743484,-111.7737,-153.27338
1.08,16.09736815,-4.31006704,-10.14725122,-136.7437,-182.61338
1.09,15.88258012,-4.27908572,-9.92627116,-150.7137,-248.09338
1.1,15.6525167,-4.24529149,-9.72969566,-176.9037,-295.83338
1.11,15.40519338,-4.20475061,-9.56104498,-189.9337,-275.68338
1.12,15.13949943,-4.16463082,-9.41983761,-182.1137,-248.98338
1.13,14.85522983,-4.13954288,-9.30526731,-192.9237,-290.28338
1.14,14.55152785,-4.13811478,-9.22074907,-213.3937,-370.98338
1.15,14.22685297,-4.15488502,-9.1724819,-223.2637,-416.24338
1.16,13.88007744,-4.17638211,-9.16410729,-228.1637,-390.68338
1.17,13.51102828,-4.19290755,-9.19409249,-215.4137,-335.23338
1.18,13.12060447,-4.20365732,-9.25847976,-200.0537,-313.38338
1.19,12.70971453,-4.21718044,-9.35486159,-207.1837,-316.23338
1.2,12.27809294,-4.24967341,-9.48260098,-218.9037,-306.90338
1.21,11.82468371,-4.31838047,-9.64080469,-230.5737,-286.98338
1.22,11.34815708,-4.43239013,-9.82838021,-248.7037,-292.45338
1.23,10.84724757,-4.58440137,-10.04654455,-251.3937,-350.11338
1.24,10.32231566,-4.74982147,-10.2994582,-213.4637,-395.74338
1.25,9.77736336,-4.89986465,-10.58938992,-126.5537,-337.57338
1.26,9.22000942,-5.02027719,-10.9115402,-33.5537,-216.30338
1.27,8.65781584,-5.11871131,-11.25728804,-3.9837,-172.17338
1.28,8.09438062,-5.21405253,-11.6229032,-12.2037,-232.49338
1.29,7.53088325,-5.31868585,-12.01075292,21.8463,-250.67338
1.3,6.97049724,-5.4319855,-12.42042295,88.9063,-137.42338
1.31,6.41887934,-5.54636001,-12.8433303,147.0063,-2.42338
1.32,5.8816473,-5.6533141,-13.26874147,188.4563,43.66662
1.33,5.36253912,-5.7468058,-13.69075095,196.9763,52.70662
1.34,4.86283179,-5.82416958,-14.10659899,189.5663,98.92662
1.35,4.38255683,-5.88173696,-14.51216034,197.1263,162.45662
1.36,3.92178072,-5.91439368,-14.90185401,192.0763,212.41662
1.37,3.47991222,-5.92405875,-15.27054875,170.9663,254.21662
1.38,3.05570458,-5.92090716,-15.61370779,168.3663,302.12662
1.39,2.64849804,-5.91312042,-15.92678741,168.2863,346.25662
1.4,2.25776461,-5.90364877,-16.20599783,149.9263,361.67662
1.41,1.88223805,-5.89695022,-16.44924382,136.0763,370.51662
1.42,1.52080934,-5.898857,-16.65497062,137.7763,399.60662
1.43,1.17339973,-5.90730064,-16.82068849,145.0763,432.17662
1.44,0.84073824,-5.91021436,-16.94341467,157.9363,457.25662
1.45,0.52406285,-5.89772944,-17.02164442,174.4363,434.71662
1.46,0.22481308,-5.8745486,-17.05879523,186.1563,318.01662
